1	小火龙	2	40	3	15	2	10	2	20	3	15	2	20	2
7														
1	抓挠	1	0	20	100	30	0	0						
5	火花	2	1	40	95	25	2	0						
11	瞪眼	1	2	0	90	20	4	0						
16	疯狂乱抓	1	0	60	90	15	0	0						
22	喷射火焰	2	1	80	80	10	2	0						
35	超级头槌	1	0	90	80	10	0	0						
42	大字爆	2	1	120	70	5	2	0						
2	杰尼龟	3	60	5	10	2	20	3	15	2	15	2	15	1
7														
1	撞击	1	0	20	100	30	0	0						
5	水泡	3	1	40	95	25	3	0						
11	烟雾	1	2	0	90	20	4	0						
16	猛撞	1	0	60	90	15	0	0						
22	急冻光线	5	1	80	80	10	3	0						
35	冲浪术	3	0	80	80	10	0	0						
42	地球上投	1	0	120	70	5	4	0						
3	妙蛙种子	5	50	4	15	2	15	2	20	3	10	2	15	2
7														
1	撞击	1	0	20	100	30	0	0						
5	藤蔓	5	1	40	95	25	0	0						
11	烟雾	1	2	0	90	20	5	0						
16	猛撞	1	0	60	90	15	0	0						
22	飞叶快刀	5	1	80	80	10	5	0						
35	广东蟑螂	12	1	200	40	10	5	0						
42	地震	9	0	120	70	5	0	0						
4	绿毛虫	12	40	3	10	3	15	2	25	3	25	3	1	1
7														
1	滚动	1	0	20	100	30	0	0						
5	虫飞	12	1	40	95	25	0	0						
11	虫鸣	12	2	0	90	20	6	0						
16	掘岩	9	0	60	90	15	0	0						
22	飞叶快刀	5	1	80	80	10	5	0						
35	诅咒	14	1	60	80	10	5	0						
42	三色光线	12	2	0	90	5	6	0						
5	比比鸟	10	40	3	25	3	10	2	15	2	10	2	20	3
7														
1	撞击	1	0	20	100	30	0	0						
5	旋风	10	1	40	95	25	0	0						
11	尖叫	1	2	0	90	20	4	0						
16	飞空术	10	0	60	90	15	0	0						
22	燕返	10	0	80	80	10	5	0						
35	钢化	14	2	60	80	10	4	0						
42	自由之翼	10	0	150	70	5	1	0						
6	小拉达	9	50	3	15	3	20	2	10	2	10	2	20	2
7														
1	抓挠	1	0	20	100	30	0	0						
5	抛沙	9	1	30	95	25	0	0						
11	尖叫	1	2	0	90	20	4	0						
16	钻地	13	0	55	90	15	0	0						
22	噩梦	16	1	60	80	10	6	0						
35	鼠鼠爱财	1	2	0	80	10	1	0						
42	取之有道	9	0	120	70	5	0	0						
7	阿伯蛇	16	50	4	15	2	15	2	20	3	10	2	15	2
7														
1	尾击	1	0	20	100	30	0	0						
5	追击	16	1	40	95	25	0	0						
11	毒雾	8	2	0	90	20	5	0						
16	钻地	13	0	55	90	15	0	0						
22	噩梦	16	1	60	80	10	6	0						
35	毒蛇暗示	8	2	0	80	10	5	0						
42	落井下石	16	0	120	70	5	0	0						
8	皮卡丘	4	40	3	10	2	15	2	25	3	15	2	25	2
7														
1	抓挠	1	0	20	100	30	0	0						
5	电光一闪	4	1	45	95	25	0	0						
11	晃眼	1	2	0	90	20	6	0						
16	电火花	2	1	55	90	15	2	0						
22	十万伏特	4	1	120	80	10	4	0						
35	歌唱	7	2	0	80	10	6	0						
42	天街巡游	4	1	160	70	5	0	0						
9	九尾	2	40	3	10	2	15	2	25	3	15	2	15	2
6														
1	抓挠	1	0	20	100	30	0	0						
5	火花	2	1	40	95	25	0	0						
11	跳舞	1	2	0	90	20	6	0						
16	阳光烈焰	5	1	60	90	15	0	0						
22	大字火	2	1	80	80	10	2	0						
35	歌唱	7	2	0	80	10	6	0						
10	胖丁	1	60	4	10	2	10	2	25	3	25	3	2	1
7														
1	儿歌	1	2	0	100	30	0	0						
5	rap	1	2	0	95	25	0	0						
11	跳舞	1	2	0	90	20	0	0						
16	撒娇	1	2	0	90	15	0	0						
22	小拳拳	1	2	0	80	10	0	0						
35	大声唱	1	2	0	80	10	0	0						
42	天籁之音	1	1	200	80	5	0	0						
11	大嘴蝠	10	35	3	10	2	15	2	20	3	15	2	15	3
6														
1	撕咬	1	0	20	100	30	0	0						
5	吼叫	1	2	0	95	25	4	0						
11	翅膀攻击	7	0	40	90	20	0	0						
16	旋风	10	2	40	90	15	0	0						
22	噪音	1	2	0	80	10	4	0						
35	超声波	10	1	95	80	10	0	0						
12	臭臭花	5	50	4	15	2	20	3	15	2	10	2	15	1
6														
1	拍打	1	0	20	100	30	0	0						
5	藤蔓	5	1	40	95	25	0	0						
11	花粉	5	2	0	90	20	4	0						
16	飞叶快刀	5	1	80	80	10	5	0						
22	吃个花花	8	2	0	80	10	6	0						
35	好臭臭	10	1	95	80	10	0	0						
13	三地鼠	9	50	4	15	2	20	3	10	2	15	2	10	1
7														
1	拱土	9	0	25	100	30	0	0						
5	抛石	13	0	30	95	25	0	0						
11	吵嚷	1	2	0	90	20	6	0						
16	迷惑位移	1	2	0	80	10	4	0						
22	落石	13	0	80	80	10	6	0						
35	地震波	9	0	95	80	10	0	0						
42	鼠鼠我呀	18	1	80	70	5	1	0						
14	喵喵	1	50	4	20	3	15	2	10	2	15	2	20	2
7														
1	抓挠	1	0	20	100	30	0	0						
5	喵喵叫	1	2	0	95	25	0	0						
11	疯狂乱抓	1	0	45	90	20	0	0						
16	小偷	16	1	60	80	10	0	0						
22	猫猫拳	7	0	80	80	10	0	0						
35	抓鼠鼠	1	0	70	80	10	0	0						
42	还会回来的	1	2	0	100	5	4	0						
15	可达鸭	3	50	4	20	3	15	2	10	2	15	2	20	1
6														
1	抓挠	1	0	20	100	30	0	0						
5	歪脑袋	1	2	0	95	25	4	0						
11	拍拍	1	0	45	90	20	0	0						
16	水枪	3	1	50	80	10	0	0						
22	点头	1	2	0	80	10	6	0						
35	脑袋疼疼	3	1	100	80	10	0	0						
16	火爆猴	7	50	4	25	3	15	2	10	2	10	2	25	2
7														
1	抓挠	1	0	25	100	30	0	0						
5	火焰拳	2	1	40	80	10	2	0						
11	连续冲拳	7	0	50	90	20	0	0						
16	格斗拳	7	0	35	95	25	2	0						
22	挑衅	1	2	0	80	10	4	0						
35	喷射火焰	2	1	80	80	10	2	0						
42	波导弹	7	0	120	70	5	0	0						
17	胡地	11	40	4	10	2	10	2	30	3	15	2	20	3
7														
1	撞击	1	0	20	100	30	0	0						
5	念力	11	1	40	80	10	0	0						
11	催眠	11	2	0	90	20	6	0						
16	瞬间移动	1	1	40	95	25	0	0						
22	泡泡戏法	3	1	70	80	10	3	0						
35	火焰魔法	2	1	80	80	10	2	0						
42	精神干扰	11	1	120	70	5	0	0						
18	喇叭芽	5	40	4	15	2	10	2	20	3	15	2	15	2
7														
1	撞击	1	0	20	100	30	0	0						
5	草叶	5	1	40	80	10	0	0						
11	催眠	11	2	0	90	20	6	0						
16	叶子拳	7	0	50	95	25	0	0						
22	飞叶快刀	5	1	80	80	10	5	0						
35	叶子旋风	5	2	120	70	5	5	0						
42	精神干扰	11	1	120	70	5	0	0						
19	臭臭泥	8	50	4	10	2	15	2	20	3	15	2	10	2
7														
1	拍打	1	0	20	100	30	0	0						
5	臭泥攻击	8	1	40	80	10	5	0						
11	毒气释放	8	2	0	90	20	5	0						
16	爱的抱抱	1	0	60	95	25	0	0						
22	臭的抱抱	8	1	80	80	10	5	0						
35	哼哼啊啊	8	2	0	70	5	6	0						
42	啊啊啊啊	8	1	120	70	5	0	0						
20	鬼斯	14	40	3	10	2	15	2	20	3	15	2	25	2
6														
1	撞击	1	0	20	100	30	0	0						
5	侵袭	14	1	40	80	10	0	0						
11	鬼叫	14	2	0	90	20	5	0						
16	鬼火	2	1	60	95	25	2	0						
22	龙之力	15	1	80	80	10	0	0						
35	恶鬼缠身	14	1	120	70	5	0	0						
21	化石翼龙	15	60	4	25	3	20	3	20	2	15	2	20	3
6														
1	撞击	1	0	30	100	30	0	0						
5	龙威	15	1	40	80	10	0	0						
11	龙之舞	15	2	0	90	20	6	0						
16	暴风	10	1	60	95	25	0	0						
22	火焰之力	2	1	60	80	10	0	0						
35	龙星群	15	1	120	70	5	0	0						
22	超梦	11	50	4	10	2	10	2	30	4	15	2	25	3
9														
1	猛撞	1	0	25	100	30	0	0						
5	精神射线	11	1	40	80	10	0	0						
11	冥想	11	2	0	90	20	6	0						
16	波导弹	7	1	75	95	25	0	0						
22	急冻光线	6	1	75	80	10	3	0						
35	烈焰冲击	2	1	80	70	10	2	0						
42	精神干扰	11	1	120	70	10	0	0						
49	自然压制	18	1	100	70	5	0	0						
54	通灵	11	1	150	60	5	1	0						
